CLASS=UNKNOWN	1009727 0836327 0781505 0727209 0440492 1042506 0227211	1009727 0836327 0781505 0727209 0440492 1042506 0227211 0754212 0880931 0444946 0880931 1012920
CLASS=UNKNOWN	1009727 0836327 0781505 0727209 0440492 1042506 0227211	1009727 0836327 0781505 1124322 0880279
CLASS=UNKNOWN	1009727 0836327 0781505 1124322 0880279 0727209 0995962	-
CLASS=UNKNOWN	1009727 0836327 0781505 1124322 0880279 0727209 0995962	1009727 0836327 0781505 1124322 0880279 0395021 0817893 0441968 0395021 0123481 0772486 0118175 1117219 1009727 0836327 0781505 1124322 0880279 0748782 0158475 0784491 0637615 0361819 0610559 0878719 0727209 0995962 0784491 0863141 0077243 0686684 0836327 0694263
CLASS=UNKNOWN	1009727 0836327 0781505 1124322 0880279 0727209 0995962	1009727 0836327 0781505 1124322 0880279 0123481 0772486 0793801 0772486 0283234 1013621 0748782 0158475 0750813 0377701 0748782 0246396 0736121 0252531 0784491 0686684 0836327 0727209 0995962 0784491 0638284 0085242 0727209 0995962 0694263
CLASS=UNKNOWN	1009727 0836327 0781505 0610327 0808160 0867571 0727209 0995962	-
CLASS=UNKNOWN	1009727 0836327 0781505 0610327 0808160 0867571 0727209 0995962	0727209 0995962 1009727 0836327 0781505 0610327 0808160 0867571 0452835 0509848 0019581 0748782 0158475 0736121 0252531 0350684 0463453 0118175 1117219 0478926 0948266 0615063 0888307 1009727 0836327 0781505 0610327 0808160 0867571 0580929
CLASS=UNKNOWN	1009727 0836327 0781505 0436057 1015037 0808160 0867571	-
CLASS=UNKNOWN	1009727 0836327 0781505 0436057 1015037 0808160 0867571	1009727 0836327 0781505 0436057 1015037 0808160 0867571 0123481 0772486 0118175 1117219 0406197 0003137 0934701 0884749 0406197 1009727 0836327 0781505 0436057 1015037 0808160 0867571 0748782 0158475 0350684 0463453 0784491 0667003 1065334 0488999 0580929
CLASS=UNKNOWN	1009727 0836327 0781505 0436057 1015037 0808160 0867571	1009727 0836327 0781505 0436057 1015037 0808160 0867571 0366268 0863141 0077243 0031957 0158475 0694263 0754212 0727209 0995962 0736121 0252531 0881057 0226989 1076825 0727209 0995962 0881057 0771245 0412439 0727209 0995962 0881057 0860630 1123536 0580929
CLASS=UNKNOWN	1009727 0836327 0781505 0436057 1015037 0808160 0867571	1009727 0836327 0781505 0436057 1015037 0808160 0867571 0123481 0772486 0118175 1117219 0478926 0948266 0629958 0748782 0246396 0452835 0509848 0736121 0252531 0406197 0748782 0158475 0350684 0463453 0638284 1050903 1098550 0190918
CLASS=UNKNOWN	1009727 0836327 0781505 0436057 1015037 0808160 0867571	1009727 0836327 0781505 0436057 1015037 0808160 0867571 1004338 0679140 0784491 0612638 0918837 0395021 0860630 1123536 0784491 0408703 1123536 0727209 0995962 0784491 1113860 0754615 0956229 0519084

CLASS=TEST	0678219 1117755 0745266	-
CLASS=TEST	0678219 1117755 0745266	0678219 1117755 0745266 0754212 0880931 0444946 0880931 1012920

CLASS=UNKNOWN	1041723 0925859	-
CLASS=UNKNOWN	1041723 0925859	1041723 0925859 0754212 0880931 0444946 0880931 1012920
CLASS=TEST	1041723 0055656	-
CLASS=TEST	1041723 0055656	-

